Account Number,Account Status,Account Type,Amount,Balance,Branch,Account Number,Channel,City,Closing Date,Country,Credit Score,Currency,Customer Name,Device Type,EMI,Fraud Flag,IFSC Code,Interest Rate,Count of Loan ID,Loan Type,Manager Name,Year,Quarter,Month,Payment Mode,Risk Level,State,Tenure,Year,Quarter,Month,Day,Count of Transaction ID,Transaction Type
506761,Active,Current,0,,City branch,506761,ATM, Bengaluru,11/06/2024,India,0,INR,Sneha Patel,Mobile,12000,Y,SBIN0001234,7.5,1,CarLoan, Ms. Iyer,2018,Qtr 4,October,NA,Low,TN,120,2019,Qtr 1,February,13,1,Debit
506826,Active,Current,0,,City branch,506826,Branch, Bengaluru,0,India,650,INR,Sneha Patel,NA,0,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2023,Qtr 1,February,NA,Low,KA,60,2020,Qtr 4,November,5,1,Credit
507181,Active,Current,0,,City branch,507181,Branch,Chennai,0,India,650,INR,NA,NA,12000,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2019,Qtr 4,November,Cash,HIGH,TN,120,2023,Qtr 4,December,1,1,Credit
507250,Active,Current,0,,City branch,507250,NetBanking, Bengaluru,11/06/2024,India,0,INR,Sneha Patel,Mobile,0,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2023,Qtr 2,April,NA,Medium,KA,60,2019,Qtr 3,September,14,1,Credit
507351,Active,Current,0,,City branch,507351,NetBanking, Bengaluru,0,India,0,INR,Arun Kumar,Mobile,5000,N,HDFC0005678,7.5,1,Home Loan, Ms. Iyer,2018,Qtr 2,June,Card,HIGH,TN,120,2024,Qtr 4,October,9,1,Debit
507409,Active,Current,0,,City branch,507409,Branch,Chennai,0,India,650,INR,Sneha Patel,Mobile,0,N,SBIN0001234,0,1,Personal Loan, Ms. Iyer,2019,Qtr 1,March,NA,Low,KA,0,2020,Qtr 1,March,31,1,Debit
507453,Active,Current,0,,City branch,507453,ATM, Bengaluru,11/06/2024,India,720,INR,Arun Kumar,Mobile,5000,Y,SBIN0001234,7.5,1,Home Loan, Ms. Iyer,2020,Qtr 2,May,Card,Low,TN,120,2018,Qtr 4,November,1,1,Credit
507510,Active,Current,0,,City branch,507510,ATM,Chennai,11/06/2024,India,0,INR,NA,Desktop,0,Y,HDFC0005678,0,1,Home Loan, Ms. Iyer,2023,Qtr 1,February,UPI,HIGH,TN,60,2022,Qtr 2,April,26,1,Debit
507705,Active,Current,0,,City branch,507705,Branch, Bengaluru,0,India,0,INR,NA,Mobile,5000,Y,SBIN0001234,7.5,1,Home Loan, Ms. Iyer,2020,Qtr 4,October,Card,Low,KA,60,2020,Qtr 4,December,25,1,Debit
507788,Active,Current,0,,City branch,507788,NetBanking,Chennai,0,India,650,INR,  Ramesh Rao,NA,12000,Y,SBIN0001234,7.5,1,CarLoan,Mr. Verma,2023,Qtr 4,November,NA,HIGH,MH,0,2019,Qtr 2,April,22,1,Debit
507918,Active,Current,0,,City branch,507918,NetBanking, Bengaluru,0,India,0,INR,Arun Kumar,NA,0,N,SBIN0001234,0,1,Personal Loan,Mr. Verma,2019,Qtr 2,April,Card,HIGH,MH,120,2018,Qtr 2,April,19,1,Debit
508013,Active,Current,0,,City branch,508013,ATM,Chennai,11/06/2024,India,720,INR,NA,Mobile,12000,Y,SBIN0001234,7.5,1,CarLoan,Mr. Verma,2022,Qtr 2,May,Cash,HIGH,KA,120,2021,Qtr 2,April,15,1,Debit
508264,Active,Current,0,,City branch,508264,Branch, Bengaluru,11/06/2024,India,650,INR,Sneha Patel,NA,5000,Y,SBIN0001234,0,1,Home Loan, Ms. Iyer,2018,Qtr 1,February,Cash,Medium,MH,120,2019,Qtr 4,December,2,1,Debit
508446,Active,Current,0,,City branch,508446,Branch, Bengaluru,11/06/2024,India,0,INR,Arun Kumar,Mobile,0,N,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2020,Qtr 3,September,NA,HIGH,KA,0,2018,Qtr 1,March,12,1,Debit
508501,Active,Current,0,,City branch,508501,ATM, Bengaluru,11/06/2024,India,0,INR,Sneha Patel,NA,0,N,SBIN0001234,0,1,Home Loan,Mr. Verma,2022,Qtr 3,July,NA,HIGH,MH,0,2024,Qtr 1,March,4,1,Debit
508505,Active,Current,0,,City branch,508505,NetBanking,Chennai,0,India,720,INR,Arun Kumar,Desktop,0,N,SBIN0001234,7.5,1,Home Loan, Ms. Iyer,2020,Qtr 3,September,Cash,HIGH,MH,0,2019,Qtr 4,December,5,1,Debit
509197,Active,Current,0,,City branch,509197,Branch, Bengaluru,11/06/2024,India,650,INR,NA,Desktop,0,Y,HDFC0005678,0,1,Home Loan,Mr. Verma,2021,Qtr 2,May,NA,Low,TN,0,2020,Qtr 4,November,8,1,Debit
509219,Active,Current,0,,City branch,509219,ATM,Chennai,11/06/2024,India,0,INR,Sneha Patel,NA,0,Y,HDFC0005678,0,1,Personal Loan, Ms. Iyer,2023,Qtr 3,July,Cash,Medium,KA,0,2022,Qtr 2,June,16,1,Credit
509268,Active,Current,0,,City branch,509268,Branch, Bengaluru,0,India,720,INR,Arun Kumar,Desktop,0,N,SBIN0001234,7.5,1,CarLoan, Ms. Iyer,2018,Qtr 4,December,Cash,Medium,MH,0,2018,Qtr 1,January,7,1,Debit
509610,Active,Current,0,,City branch,509610,Branch, Bengaluru,0,India,650,INR,NA,Desktop,0,Y,HDFC0005678,0,1,Personal Loan, Ms. Iyer,2023,Qtr 2,June,NA,Medium,MH,120,2022,Qtr 3,July,11,1,Debit
509880,Active,Current,0,,City branch,509880,NetBanking, Bengaluru,0,India,0,INR,Sneha Patel,Mobile,5000,N,SBIN0001234,0,1,CarLoan, Ms. Iyer,2018,Qtr 4,October,UPI,HIGH,MH,60,2023,Qtr 3,July,19,1,Credit
509888,Active,Current,0,,City branch,509888,ATM, Bengaluru,11/06/2024,India,0,INR,Arun Kumar,NA,5000,N,HDFC0005678,0,1,Home Loan, Ms. Iyer,2023,Qtr 2,May,NA,Low,MH,120,2018,Qtr 2,June,22,1,Debit
510268,Active,Current,0,,City branch,510268,ATM,Chennai,11/06/2024,India,650,INR,NA,NA,5000,N,HDFC0005678,0,1,Personal Loan, Ms. Iyer,2023,Qtr 2,April,Cash,Low,KA,120,2022,Qtr 2,June,15,1,Debit
510340,Active,Current,0,,City branch,510340,NetBanking,Chennai,11/06/2024,India,0,INR,Arun Kumar,Desktop,12000,Y,HDFC0005678,7.5,1,Personal Loan, Ms. Iyer,2022,Qtr 3,September,NA,HIGH,KA,0,2019,Qtr 4,December,1,1,Debit
510384,Active,Current,0,,City branch,510384,NetBanking,Chennai,0,India,0,INR,NA,NA,0,Y,HDFC0005678,0,1,CarLoan, Ms. Iyer,2023,Qtr 2,June,Cash,HIGH,KA,0,2023,Qtr 2,June,26,1,Debit
510388,Active,Current,0,,City branch,510388,NetBanking, Bengaluru,11/06/2024,India,0,INR,Sneha Patel,NA,0,N,SBIN0001234,7.5,1,Home Loan, Ms. Iyer,2021,Qtr 4,November,Cash,Medium,KA,120,2023,Qtr 1,February,24,1,Debit
510667,Active,Current,0,,City branch,510667,Branch,Chennai,11/06/2024,India,650,INR,Sneha Patel,NA,12000,N,HDFC0005678,7.5,1,CarLoan,Mr. Verma,2023,Qtr 3,September,Cash,Low,TN,0,2023,Qtr 4,December,2,1,Debit
510783,Active,Current,0,,City branch,510783,ATM,Chennai,0,India,720,INR,Sneha Patel,Desktop,0,Y,SBIN0001234,0,1,Home Loan, Ms. Iyer,2022,Qtr 4,October,Card,Low,KA,0,2019,Qtr 1,March,14,1,Credit
511259,Active,Current,0,,City branch,511259,Branch, Bengaluru,0,India,0,INR,NA,Mobile,0,Y,SBIN0001234,0,1,Home Loan,Mr. Verma,2018,Qtr 3,August,NA,Low,MH,120,2023,Qtr 1,January,2,1,Credit
511341,Active,Current,0,,City branch,511341,Branch,Chennai,11/06/2024,India,720,INR,  Ramesh Rao,NA,0,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2018,Qtr 4,November,NA,HIGH,KA,120,2020,Qtr 2,May,14,1,Credit
511375,Active,Current,0,,City branch,511375,ATM,Chennai,11/06/2024,India,0,INR,NA,NA,12000,N,HDFC0005678,7.5,1,CarLoan,Mr. Verma,2018,Qtr 4,December,Cash,HIGH,KA,120,2024,Qtr 3,August,18,1,Credit
511798,Active,Current,0,,City branch,511798,Branch, Bengaluru,11/06/2024,India,0,INR,  Ramesh Rao,Mobile,12000,Y,HDFC0005678,7.5,1,Home Loan, Ms. Iyer,2018,Qtr 4,December,Card,HIGH,KA,120,2022,Qtr 1,January,8,1,Debit
512003,Active,Current,0,,City branch,512003,NetBanking,Chennai,0,India,0,INR,NA,Desktop,0,N,SBIN0001234,7.5,1,Personal Loan,Mr. Verma,2024,Qtr 2,May,NA,Low,KA,120,2021,Qtr 3,September,24,1,Debit
512049,Active,Current,0,,City branch,512049,Branch,Chennai,11/06/2024,India,720,INR,Sneha Patel,Desktop,0,Y,HDFC0005678,7.5,1,Home Loan, Ms. Iyer,2020,Qtr 4,November,Cash,HIGH,TN,120,2020,Qtr 3,August,29,1,Debit
512303,Active,Current,0,,City branch,512303,Branch, Bengaluru,11/06/2024,India,0,INR,NA,Desktop,0,N,SBIN0001234,7.5,1,CarLoan, Ms. Iyer,2021,Qtr 1,March,Cash,Medium,TN,60,2020,Qtr 2,April,7,1,Debit
512361,Active,Current,0,,City branch,512361,NetBanking,Chennai,0,India,650,INR,NA,NA,0,N,HDFC0005678,0,1,CarLoan,Mr. Verma,2022,Qtr 4,November,Card,HIGH,MH,0,2022,Qtr 2,April,1,1,Debit
512529,Active,Current,0,,City branch,512529,Branch,Chennai,0,India,720,INR,  Ramesh Rao,Mobile,0,Y,HDFC0005678,0,1,CarLoan, Ms. Iyer,2023,Qtr 4,November,NA,Medium,TN,0,2023,Qtr 4,October,13,1,Debit
512926,Active,Current,0,,City branch,512926,ATM, Bengaluru,0,India,0,INR,NA,NA,0,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2023,Qtr 2,April,UPI,Low,KA,120,2024,Qtr 1,March,3,1,Debit
513023,Active,Current,0,,City branch,513023,Branch,Chennai,0,India,0,INR,Sneha Patel,NA,12000,Y,SBIN0001234,0,1,Home Loan, Ms. Iyer,2019,Qtr 1,March,Cash,Low,KA,60,2021,Qtr 3,July,1,1,Debit
513061,Active,Current,0,,City branch,513061,ATM,Chennai,11/06/2024,India,0,INR,NA,NA,0,Y,SBIN0001234,7.5,1,Personal Loan, Ms. Iyer,2019,Qtr 4,October,NA,Medium,TN,0,2019,Qtr 4,October,8,1,Debit
513120,Active,Current,0,,City branch,513120,ATM,Chennai,0,India,0,INR,Sneha Patel,NA,5000,Y,SBIN0001234,7.5,1,CarLoan,Mr. Verma,2018,Qtr 4,October,NA,Low,KA,120,2020,Qtr 1,March,12,1,Debit
513186,Active,Current,0,,City branch,513186,Branch, Bengaluru,0,India,0,INR,NA,NA,0,Y,SBIN0001234,0,1,CarLoan, Ms. Iyer,2021,Qtr 1,March,Cash,Low,MH,120,2020,Qtr 4,October,7,1,Debit
513197,Active,Current,0,,City branch,513197,Branch,Chennai,0,India,720,INR,Arun Kumar,Mobile,12000,N,HDFC0005678,0,1,Home Loan,Mr. Verma,2021,Qtr 3,August,Cash,Low,TN,120,2018,Qtr 3,July,1,1,Debit
513329,Active,Current,0,,City branch,513329,ATM, Bengaluru,11/06/2024,India,0,INR,Sneha Patel,Mobile,12000,Y,HDFC0005678,0,1,Home Loan, Ms. Iyer,2020,Qtr 2,May,Card,Medium,MH,60,2024,Qtr 2,May,13,1,Debit
513544,Active,Current,0,,City branch,513544,ATM, Bengaluru,11/06/2024,India,720,INR,Arun Kumar,NA,5000,N,HDFC0005678,7.5,1,CarLoan, Ms. Iyer,2023,Qtr 2,April,UPI,Low,KA,0,2021,Qtr 2,May,4,1,Credit
513845,Active,Current,0,,City branch,513845,ATM,Chennai,0,India,720,INR,NA,Desktop,0,N,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2022,Qtr 4,November,Card,HIGH,KA,0,2024,Qtr 2,May,23,1,Debit
514021,Active,Current,0,,City branch,514021,NetBanking,Chennai,0,India,0,INR,Sneha Patel,Mobile,12000,Y,HDFC0005678,7.5,1,CarLoan, Ms. Iyer,2019,Qtr 2,June,UPI,HIGH,TN,0,2024,Qtr 2,April,11,1,Credit
514137,Active,Current,0,,City branch,514137,ATM, Bengaluru,11/06/2024,India,720,INR,  Ramesh Rao,NA,0,N,HDFC0005678,0,1,Personal Loan,Mr. Verma,2023,Qtr 3,July,NA,Low,MH,0,2019,Qtr 4,December,13,1,Debit
514660,Active,Current,0,,City branch,514660,Branch,Chennai,11/06/2024,India,720,INR,  Ramesh Rao,Desktop,0,N,HDFC0005678,0,1,Home Loan, Ms. Iyer,2018,Qtr 1,January,NA,Medium,TN,60,2020,Qtr 1,March,5,1,Debit
514981,Active,Current,0,,City branch,514981,Branch, Bengaluru,0,India,0,INR,Arun Kumar,Mobile,0,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2018,Qtr 1,February,UPI,HIGH,MH,120,2022,Qtr 1,February,16,1,Credit
515021,Active,Current,0,,City branch,515021,NetBanking, Bengaluru,11/06/2024,India,0,INR,NA,Mobile,0,N,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2020,Qtr 3,July,NA,HIGH,TN,60,2021,Qtr 1,February,25,1,Debit
515505,Active,Current,0,,City branch,515505,NetBanking, Bengaluru,0,India,650,INR,NA,NA,12000,Y,HDFC0005678,7.5,1,Personal Loan,Mr. Verma,2022,Qtr 2,May,Card,Medium,TN,120,2023,Qtr 2,April,20,1,Debit
515573,Active,Current,0,,City branch,515573,Branch, Bengaluru,11/06/2024,India,0,INR,Arun Kumar,NA,0,Y,SBIN0001234,0,1,CarLoan,Mr. Verma,2024,Qtr 2,May,NA,HIGH,MH,0,2022,Qtr 1,March,24,1,Debit
515674,Active,Current,0,,City branch,515674,NetBanking, Bengaluru,0,India,0,INR,NA,Mobile,5000,N,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2022,Qtr 3,July,Card,HIGH,MH,120,2020,Qtr 3,July,19,1,Debit
516023,Active,Current,0,,City branch,516023,NetBanking,Chennai,11/06/2024,India,650,INR,Arun Kumar,NA,0,N,SBIN0001234,7.5,1,Personal Loan, Ms. Iyer,2019,Qtr 2,May,Card,Medium,TN,120,2023,Qtr 3,July,14,1,Debit
516072,Active,Current,0,,City branch,516072,ATM, Bengaluru,0,India,720,INR,  Ramesh Rao,NA,0,Y,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2024,Qtr 1,February,UPI,Medium,TN,60,2024,Qtr 3,July,5,1,Debit
516248,Active,Current,0,,City branch,516248,ATM, Bengaluru,11/06/2024,India,720,INR,Arun Kumar,Mobile,0,N,SBIN0001234,7.5,1,Home Loan, Ms. Iyer,2020,Qtr 1,February,NA,Medium,MH,120,2023,Qtr 1,February,23,1,Credit
516268,Active,Current,0,,City branch,516268,NetBanking, Bengaluru,11/06/2024,India,0,INR,Sneha Patel,NA,12000,Y,SBIN0001234,7.5,1,Home Loan, Ms. Iyer,2018,Qtr 2,May,Cash,HIGH,MH,60,2019,Qtr 4,November,28,1,Credit
516315,Active,Current,0,,City branch,516315,Branch,Chennai,0,India,0,INR,Arun Kumar,NA,12000,Y,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2021,Qtr 4,November,Card,Medium,KA,120,2018,Qtr 4,October,23,1,Credit
516880,Active,Current,0,,City branch,516880,Branch,Chennai,0,India,650,INR,Sneha Patel,Desktop,0,Y,HDFC0005678,7.5,1,Home Loan,Mr. Verma,2021,Qtr 1,March,Card,HIGH,KA,0,2021,Qtr 3,August,14,1,Debit
516933,Active,Current,0,,City branch,516933,NetBanking,Chennai,0,India,0,INR,NA,Mobile,5000,N,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2021,Qtr 4,December,Card,Medium,TN,60,2024,Qtr 3,September,12,1,Debit
516942,Active,Current,0,,City branch,516942,NetBanking,Chennai,11/06/2024,India,0,INR,NA,NA,5000,N,SBIN0001234,7.5,1,Home Loan,Mr. Verma,2019,Qtr 1,March,Card,HIGH,KA,120,2024,Qtr 1,February,3,1,Debit
517062,Active,Current,0,,City branch,517062,ATM,Chennai,0,India,0,INR,NA,Desktop,0,N,SBIN0001234,0,1,CarLoan, Ms. Iyer,2021,Qtr 2,May,Card,Medium,TN,120,2023,Qtr 1,February,26,1,Credit
517201,Active,Current,0,,City branch,517201,ATM, Bengaluru,0,India,0,INR,  Ramesh Rao,NA,0,Y,SBIN0001234,0,1,Home Loan, Ms. Iyer,2021,Qtr 2,June,UPI,HIGH,KA,60,2018,Qtr 2,April,2,1,Credit
517735,Active,Current,0,,City branch,517735,NetBanking, Bengaluru,11/06/2024,India,0,INR,Arun Kumar,NA,0,Y,HDFC0005678,7.5,1,CarLoan,Mr. Verma,2023,Qtr 4,December,Card,HIGH,TN,60,2022,Qtr 2,May,17,1,Debit
517810,Active,Current,0,,City branch,517810,ATM, Bengaluru,11/06/2024,India,0,INR,NA,Desktop,0,N,HDFC0005678,0,1,CarLoan, Ms. Iyer,2024,Qtr 2,May,Card,HIGH,TN,0,2024,Qtr 4,October,9,1,Debit
517872,Active,Current,0,,City branch,517872,NetBanking, Bengaluru,11/06/2024,India,0,INR,NA,NA,0,N,SBIN0001234,0,1,Home Loan,Mr. Verma,2022,Qtr 3,July,UPI,Low,KA,0,2020,Qtr 4,December,29,1,Credit
518023,Active,Current,0,,City branch,518023,ATM,Chennai,0,India,650,INR,  Ramesh Rao,Desktop,12000,Y,SBIN0001234,7.5,1,CarLoan, Ms. Iyer,2019,Qtr 4,November,NA,HIGH,TN,120,2023,Qtr 2,May,3,1,Debit
518034,Active,Current,0,,City branch,518034,Branch,Chennai,11/06/2024,India,650,INR,Arun Kumar,NA,5000,Y,HDFC0005678,0,1,Personal Loan, Ms. Iyer,2020,Qtr 1,January,NA,HIGH,TN,0,2020,Qtr 3,September,3,1,Debit
